"נתונים היסטוריים - ת""א - 25",,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
24/12/2015,1498,1506.67,1517.44,1518.83,1503.12,713778168
23/12/2015,1488.48,1490,1498,1498,1484.06,706455341
22/12/2015,1498.94,1501.51,1488.48,1503.15,1487.47,702371874
21/12/2015,1495.67,1501.3,1498.94,1505.26,1495.01,705228344
20/12/2015,1519.08,1495.45,1495.67,1496.55,1486.96,701224566
17/12/2015,1501.65,1513.94,1519.08,1527.53,1513.94,710042277
16/12/2015,1509.86,1513.46,1501.65,1515.64,1499.95,703622613
15/12/2015,1487.36,1496.31,1509.86,1510.82,1492.47,707724344
14/12/2015,1494.5,1501.99,1487.36,1503.23,1484.78,697645959
13/12/2015,1533.22,1507.51,1494.5,1509.24,1492.48,597510832
10/12/2015,1544.41,1541.94,1533.22,1543.01,1530.68,609428782
09/12/2015,1542.38,1549.02,1544.41,1550.78,1539.52,614377276
08/12/2015,1555.73,1554.37,1542.38,1556.76,1537.04,613243500
07/12/2015,1567.4,1568.3,1555.73,1570.04,1554.96,614660848
06/12/2015,1561.17,1572.26,1567.4,1573.8,1564.2,601597729
03/12/2015,1575.4,1568.85,1561.17,1576.13,1559.55,596472653
02/12/2015,1572.9,1576.73,1575.4,1579.77,1573,602422833
01/12/2015,1560.5,1571.48,1572.9,1577.47,1569.43,603403503
30/11/2015,1562.95,1561.61,1560.5,1568.43,1556.85,589914648
29/11/2015,1561.49,1562.09,1562.95,1565.97,1559.25,597344776
26/11/2015,1560.23,1555.66,1561.49,1563.54,1555.66,598827749
25/11/2015,1562.28,1571.65,1560.23,1573.04,1559.64,596233524
24/11/2015,1573.68,1571.43,1562.28,1573.63,1557.53,592049031
23/11/2015,1576.14,1576.19,1573.68,1577.91,1568.34,599430426
22/11/2015,1573.66,1578.8,1576.14,1585.57,1574.94,596322516
19/11/2015,1569.26,1585.28,1573.66,1585.28,1572.23,595270680
18/11/2015,1558.5,1555.94,1569.26,1571.3,1552.23,590368116
17/11/2015,1545.42,1550.59,1558.5,1562.71,1548.02,587866176
16/11/2015,1517.36,1528.55,1545.42,1546.02,1527.88,582396830
15/11/2015,1557.49,1519.92,1517.36,1528.34,1515.93,571054624
12/11/2015,1574.12,1570.78,1557.49,1573.61,1557.49,589889460
11/11/2015,1564.71,1568.48,1574.12,1577.16,1568.48,596678652
10/11/2015,1562.15,1567.11,1564.71,1567.59,1558.78,593243570
09/11/2015,1570.19,1570.84,1562.15,1574.91,1560.63,591322207
08/11/2015,1581.79,1587.75,1570.19,1590.15,1570.19,595120576
05/11/2015,1583,1584.83,1581.79,1588.75,1581.79,594963918
04/11/2015,1582.72,1587.17,1583,1589.24,1580.27,599354459
03/11/2015,1577.82,1584.79,1582.72,1586.06,1578.44,598960606
02/11/2015,1574.41,1571.84,1577.82,1578.58,1569.99,592515207
01/11/2015,1573.54,1568.65,1574.41,1576.42,1567.31,589076575
29/10/2015,1566.15,1573.74,1573.54,1576.65,1566.46,596818512
28/10/2015,1564.49,1567.75,1566.15,1568.08,1556.81,593615973
27/10/2015,1575.17,1571.93,1564.49,1575.65,1560.92,586700226
26/10/2015,1580.33,1582.19,1575.17,1584.72,1575.12,587404529
25/10/2015,1545.29,1573.68,1580.33,1584.46,1570.9,590999350
22/10/2015,1547.47,1542.58,1545.29,1548.78,1540.92,572063265
21/10/2015,1540.8,1541.2,1547.47,1553.85,1538.67,574083829
20/10/2015,1539.08,1541.68,1540.8,1546.45,1538.12,583752965
19/10/2015,1544.67,1540.37,1539.08,1547.46,1532.85,586984180
18/10/2015,1527.07,1542.18,1544.67,1548.38,1540.64,587386513
15/10/2015,1510.37,1521.46,1527.07,1528.57,1514.56,576646370
14/10/2015,1497.2,1493.3,1510.37,1513.85,1488.28,566789510
13/10/2015,1514.35,1513.77,1497.2,1513.94,1484.8,571854287
12/10/2015,1517.26,1525.77,1514.35,1530.75,1514.35,570596631
11/10/2015,1519.72,1522.16,1517.26,1523.22,1511.23,572941351
08/10/2015,1534.86,1532.74,1519.72,1532.74,1517.94,572704012
07/10/2015,1513.47,1517.06,1534.86,1534.86,1512.81,572572632
06/10/2015,1488.54,1505.33,1513.47,1520.44,1500.27,574229143
01/10/2015,1490.98,1492.99,1488.54,1501.66,1487.95,569347075
30/09/2015,1490.08,1495.52,1490.98,1500.81,1478.19,567737073
29/09/2015,1524.08,1469.55,1490.08,1495.61,1468.93,567760765
24/09/2015,1579.34,1543.27,1524.08,1555.18,1524.08,590380652
21/09/2015,1570.92,1573.62,1579.34,1583.66,1568.96,615475987
20/09/2015,1594.83,1582.9,1570.92,1592.59,1569.85,611038133
17/09/2015,1595.26,1599.69,1594.83,1599.83,1585.43,620733008
16/09/2015,1593.67,1606.7,1595.26,1607.43,1592.41,620209067
10/09/2015,1598.16,1588.7,1593.67,1598.72,1572.76,610977227
09/09/2015,1608.04,1626.49,1598.16,1627.31,1598.16,619042973
08/09/2015,1602.53,1607.37,1608.04,1622.23,1606.34,622455980
07/09/2015,1608.49,1614.99,1602.53,1616.46,1600.81,621647213
06/09/2015,1606.26,1585.17,1608.49,1608.49,1584.51,624012235
03/09/2015,1592.33,1605.72,1606.26,1608.69,1597.64,631111125
02/09/2015,1563.06,1577.83,1592.33,1594.89,1574.28,620921549
01/09/2015,1578.48,1561.52,1563.06,1564.71,1547.01,612415116
31/08/2015,1605.09,1582.58,1578.48,1588.87,1572.54,623375468
30/08/2015,1596.56,1614.9,1605.09,1616.87,1602.68,631101367
27/08/2015,1591.19,1604.33,1596.56,1616.17,1591.11,627419886
26/08/2015,1609.16,1601.82,1591.19,1609.19,1583.6,623155457
25/08/2015,1568.68,1574.46,1609.16,1622.74,1574.46,627591014
24/08/2015,1625.97,1565.78,1568.68,1594.49,1545.73,612292297
23/08/2015,1695.11,1653.98,1625.97,1654.98,1619.17,639077892
20/08/2015,1708.71,1707.36,1695.11,1708.46,1695.11,664260682
19/08/2015,1720.28,1717.2,1708.71,1719.19,1708.71,666716218
18/08/2015,1717,1720.34,1720.28,1720.94,1715.32,668858907
17/08/2015,1719.09,1721.43,1717,1722.93,1712.38,665949928
16/08/2015,1711.66,1714.88,1719.09,1720.71,1714.44,663352067
13/08/2015,1700.38,1715.37,1711.66,1716.05,1708.78,664129556
12/08/2015,1711.9,1703.56,1700.38,1706.73,1697.24,659877969
11/08/2015,1722.8,1719.71,1711.9,1720.99,1708.92,664600190
10/08/2015,1712.53,1718.44,1722.8,1723.6,1714.11,669440078
09/08/2015,1716.65,1708.6,1712.53,1714.23,1707.32,665174507
06/08/2015,1723.56,1722.25,1716.65,1724.85,1715.66,665548901
05/08/2015,1711.92,1714.15,1723.56,1725.04,1712.13,669577629
04/08/2015,1718.07,1719.02,1711.92,1720.34,1706.73,663409363
03/08/2015,1714.59,1715.61,1718.07,1720.54,1711.87,660003900
02/08/2015,1712.61,1712.21,1714.59,1716.39,1711.57,660439314
30/07/2015,1717.72,1728.89,1712.61,1728.89,1707.11,664570967
29/07/2015,1710.32,1719.4,1717.72,1724.17,1715.72,669577556
28/07/2015,1697.92,1706.63,1710.32,1717.71,1703.3,664133516
27/07/2015,1702.05,1698.19,1697.92,1704.6,1683.35,657819904
23/07/2015,1701.19,1704.11,1702.05,1706.98,1697.19,641189989
22/07/2015,1710.9,1706.23,1701.19,1708.41,1695.47,641853462
21/07/2015,1712.37,1715.35,1710.9,1718.15,1708.69,641536988
20/07/2015,1705.93,1705.88,1712.37,1718.03,1703.09,644205074
19/07/2015,1694.07,1700.4,1705.93,1707.61,1698.18,643091348
16/07/2015,1685.41,1688.68,1694.07,1695.71,1687.2,638250871
15/07/2015,1681.41,1684.67,1685.41,1690.49,1682.29,635010222
14/07/2015,1680.99,1681.25,1681.41,1682.86,1674.12,634653212
13/07/2015,1661.26,1666.37,1680.99,1684.08,1666.37,628319753
12/07/2015,1658.06,1660.04,1661.26,1662.99,1654.36,621525150
09/07/2015,1641.05,1649.27,1658.06,1658.58,1648.09,622438963
08/07/2015,1655.69,1645.95,1641.05,1655.31,1638.89,617302980
07/07/2015,1658.64,1663.91,1655.69,1669,1655.69,621997585
06/07/2015,1653.21,1644.6,1658.64,1667.21,1644.5,620979119
05/07/2015,1663.9,1663.15,1653.21,1664.17,1651.54,619944806
02/07/2015,1673.69,1668.34,1663.9,1673.42,1662.16,623202598
01/07/2015,1648.8,1655.52,1673.69,1676.01,1655.46,625200372
30/06/2015,1641.43,1641.13,1648.8,1656.82,1636.63,613385667
29/06/2015,1641.52,1637.76,1641.43,1653.43,1634.41,612271679
28/06/2015,1671.33,1653.64,1641.52,1654.51,1640.54,612117670
25/06/2015,1682.32,1669.54,1671.33,1681.02,1668.81,620856849
24/06/2015,1689.19,1689.08,1682.32,1691.03,1676.3,621742866
23/06/2015,1697.13,1698.93,1689.19,1704.04,1686.76,625913743
22/06/2015,1703.52,1713.03,1697.13,1717.79,1695.34,628165506
21/06/2015,1684.9,1683.27,1703.52,1703.52,1682.29,634257086
18/06/2015,1688.12,1681.44,1684.9,1688.57,1672.6,628240109
17/06/2015,1688.05,1696.28,1688.12,1696.28,1685.12,633276204
16/06/2015,1674.05,1673.93,1688.05,1689.96,1670.63,632189060
15/06/2015,1691.66,1684.06,1674.05,1686.42,1669.89,629650960
14/06/2015,1697.13,1692.66,1691.66,1696.52,1688.04,637117329
11/06/2015,1686.02,1690.76,1697.13,1698.13,1690.35,644426747
10/06/2015,1691.56,1690.06,1686.02,1696.61,1683.51,641000680
09/06/2015,1707.38,1703.22,1691.56,1707.2,1687.81,642030233
08/06/2015,1703.32,1704.79,1707.38,1712.04,1701.04,649025658
07/06/2015,1696.74,1683.22,1703.32,1703.32,1682.44,651185541
04/06/2015,1704.92,1696.22,1696.74,1701.17,1688.74,650907301
03/06/2015,1693,1699.12,1704.92,1707.72,1693.88,649138050
02/06/2015,1694.25,1697.22,1693,1699.65,1688.41,645863773
01/06/2015,1688.15,1692.79,1694.25,1700.25,1689.11,648916463
31/05/2015,1677.03,1669.41,1688.15,1688.15,1666.03,645113300
28/05/2015,1686.78,1683.61,1677.03,1687.88,1674.4,645768953
27/05/2015,1690.72,1688.63,1686.78,1693.28,1679.56,648684166
26/05/2015,1707.74,1709.71,1690.72,1711.06,1690.72,651549040
25/05/2015,1715.58,1715.41,1707.74,1718.65,1706.57,657707678
21/05/2015,1705.94,1704.9,1715.58,1716.91,1700.25,660843047
20/05/2015,1708.43,1713.18,1705.94,1718.88,1705.64,654499747
19/05/2015,1683.05,1692,1708.43,1710.96,1691.66,656194698
18/05/2015,1664.21,1666.27,1683.05,1684.42,1665.24,646086739
17/05/2015,1658.69,1662.86,1664.21,1665.1,1659.68,638947794
14/05/2015,1659.22,1660.46,1658.69,1664.98,1655.62,640903830
13/05/2015,1638.83,1645.79,1659.22,1659.54,1643,640962611
12/05/2015,1649.31,1641.58,1638.83,1644.39,1636.57,639265191
11/05/2015,1650.75,1653.8,1649.31,1654.23,1644.09,642769941
10/05/2015,1632.78,1644.64,1650.75,1650.75,1643.53,641926001
07/05/2015,1622.31,1621.94,1632.78,1633.61,1613.91,634187577
06/05/2015,1630.75,1632.04,1622.31,1633.94,1621.39,635777614
05/05/2015,1643.91,1642.88,1630.75,1647.23,1627.68,638378064
04/05/2015,1634.32,1634.95,1643.91,1647.73,1631.96,644188348
03/05/2015,1644.85,1651.76,1634.32,1654.17,1633.18,642079116
30/04/2015,1648.56,1640.81,1644.85,1652.93,1640.17,638427828
29/04/2015,1659.99,1664.73,1648.56,1665.16,1645.22,641354936
28/04/2015,1684.46,1677.45,1659.99,1678,1657.61,642151588
27/04/2015,1687.85,1688.77,1684.46,1691.34,1682.97,659657108
26/04/2015,1683.35,1688.38,1687.85,1689.87,1683.99,666281564
21/04/2015,1679.46,1675.18,1683.35,1689.83,1675.18,669294070
20/04/2015,1667.8,1671.11,1679.46,1682.31,1669.05,663927378
19/04/2015,1686.31,1672.6,1667.8,1675.7,1664.06,660321257
16/04/2015,1686.6,1690.36,1686.31,1690.81,1677.71,677565185
15/04/2015,1678.82,1682.47,1686.6,1689.43,1679.79,679366209
14/04/2015,1689.34,1686.65,1678.82,1693.94,1678.38,675470337
13/04/2015,1680.96,1677.96,1689.34,1689.34,1673.62,681712769
12/04/2015,1650.84,1685.23,1680.96,1687.41,1680.96,677428838
08/04/2015,1660.75,1655.1,1650.84,1658.45,1647.83,651671396
07/04/2015,1643.93,1652.32,1660.75,1660.9,1651.48,656893061
06/04/2015,1642.15,1642.87,1643.93,1645.38,1638.45,645331352
05/04/2015,1640.87,1637.38,1642.15,1642.46,1637.01,644457793
02/04/2015,1630.83,1633.85,1640.87,1643.23,1633.79,643826852
01/04/2015,1625.77,1621.31,1630.83,1636.5,1620.12,637214187
31/03/2015,1619.94,1621.17,1625.77,1625.9,1614.05,640231925
30/03/2015,1613.38,1622.11,1619.94,1631.72,1619.09,637099049
29/03/2015,1594.18,1601.47,1613.38,1613.38,1599.5,636132364
26/03/2015,1611.44,1592.36,1594.18,1599.05,1588.58,630541674
25/03/2015,1608.61,1605.08,1611.44,1617.47,1590.97,635002833
24/03/2015,1620.35,1615.96,1608.61,1627.56,1605.18,633655747
23/03/2015,1622.59,1623.19,1620.35,1623.21,1599.96,640557958
22/03/2015,1601.2,1610.59,1622.59,1635.82,1610.59,643665644
19/03/2015,1578.9,1578.6,1601.2,1618.8,1576.22,635152430
18/03/2015,1563.2,1562.91,1578.9,1582.03,1562.31,628074269
16/03/2015,1553.74,1558.67,1563.2,1563.57,1550.57,620288078
15/03/2015,1565.75,1572.48,1553.74,1573.22,1548.32,616575705
12/03/2015,1561.81,1562.08,1565.75,1569.37,1557.95,618416225
11/03/2015,1546.27,1546.98,1561.81,1564.72,1544.12,610742476
10/03/2015,1550.33,1552.31,1546.27,1556.7,1541.94,601846294
09/03/2015,1537.69,1538.3,1550.33,1550.68,1533.36,602005379
08/03/2015,1529.78,1528.85,1537.69,1537.86,1526.99,601035450
04/03/2015,1526.59,1533.06,1529.78,1534.01,1527.22,595118846
03/03/2015,1535.6,1539.38,1526.59,1540.08,1524.51,593664474
02/03/2015,1535.17,1537.98,1535.6,1539.11,1529.39,598199613
01/03/2015,1517.94,1521.77,1535.17,1535.35,1520.9,598434364
26/02/2015,1508.5,1514.98,1517.94,1521.32,1511.56,589424486
25/02/2015,1501.15,1501.69,1508.5,1509.81,1498.77,584981992
24/02/2015,1503.34,1506.7,1501.15,1508.59,1499.88,585739948
23/02/2015,1495.54,1497.08,1503.34,1506.42,1492.15,583338734
22/02/2015,1485.78,1494.58,1495.54,1499.64,1493.05,577589660
19/02/2015,1483.67,1485.08,1485.78,1490.4,1480.94,574846212
18/02/2015,1474.95,1480.29,1483.67,1485.12,1478.87,575001278
17/02/2015,1472.98,1470.09,1474.95,1479.13,1467.1,575792344
16/02/2015,1460.04,1460.04,1472.98,1474.56,1458.43,574950908
15/02/2015,1452.46,1458.12,1460.04,1460.49,1455.95,573530731
12/02/2015,1457.47,1452.4,1452.46,1459.1,1452.4,572518093
11/02/2015,1462.15,1462.53,1457.47,1463.25,1456.01,567205148
10/02/2015,1458.1,1459.54,1462.15,1463.89,1457.5,566919128
09/02/2015,1461.98,1460.33,1458.1,1461.23,1456.64,567862203
08/02/2015,1461.33,1460.79,1461.98,1463.11,1459.55,572698856
05/02/2015,1457.18,1457.82,1461.33,1467.02,1456.51,570991019
04/02/2015,1455.27,1457.09,1457.18,1459.66,1454.79,568306447
03/02/2015,1446.41,1450.25,1455.27,1457.39,1449.44,568302189
02/02/2015,1446.43,1447.04,1446.41,1449.32,1443.69,567060462
01/02/2015,1447.85,1447.16,1446.43,1450.46,1445.23,566914230
29/01/2015,1453.17,1446.22,1447.85,1451.36,1445.52,568012896
28/01/2015,1455.25,1460.41,1453.17,1461.05,1446.54,576803949
27/01/2015,1460.44,1462.38,1455.25,1464.57,1452.08,577547795
26/01/2015,1459.56,1456.26,1460.44,1465.68,1455.45,582227418
25/01/2015,1455.66,1459.94,1459.56,1462.59,1457.47,582030562
22/01/2015,1458.76,1461.93,1455.66,1462.71,1452.57,576156168
21/01/2015,1459.74,1458.53,1458.76,1460.45,1452.01,577133447
